name,weekly_downloads
wait-on,9968201
snapdragon,9947841
md5.js,9922779
load-esm,9915186
update-notifier,9894211
text-extensions,9892506
find-versions,9890140
async-mutex,9866111
partysocket,9814023
micromark-extension-math,9772514
sqlstring,9719449
refractor,9712061
path-data-parser,9708350
better-sqlite3,9705344
throttle-debounce,9703727
yarn,9663870
fbjs-css-vars,9639912
source-list-map,9633723
pseudomap,9626765
case-sensitive-paths-webpack-plugin,9619915
unbash,9572136
resend,9569860
snapdragon-util,9538014
hast-util-sanitize,9535995
jest-junit,9526200
hpagent,9520213
graphql-request,9475955
jsc-safe-url,9474541
babel-runtime,9461982
remeda,9450853
seq-queue,9351723
resolve-url-loader,9345913
csv-stringify,9341221
regex-parser,9323812
detect-file,9304793
strip-comments,9248437
adjust-sourcemap-loader,9209234
pixelmatch,9204076
markdown-extensions,9179517
prosemirror-markdown,9164366
sync-fetch,9144300
firebase,9142605
inline-style-prefixer,9131926
postcss-nesting,9115146
parse-srcset,9103678
css-minimizer-webpack-plugin,9088403
stubborn-fs,9061376
miller-rabin,9055713
workbox-routing,9055485
workbox-strategies,9022116
react-select,9012468
array-uniq,8977698
stream-chain,8951252
css-in-js-utils,8940756
sade,8929432
xcode,8913523
is-utf8,8878626
strip-bom-string,8857460
rehype-sanitize,8852414
workbox-window,8827541
eslint-plugin-storybook,8827443
bs58,8814809
workbox-cacheable-response,8807294
to-object-path,8805162
stream-json,8791330
prom-client,8775629
workbox-expiration,8773636
sparse-bitfield,8767984
ajv-errors,8766305
prettier-plugin-tailwindcss,8733629
unfetch,8729162
identity-obj-proxy,8715375
scroll-into-view-if-needed,8707187
json-schema-ref-resolver,8702694
react-textarea-autosize,8695087
workbox-navigation-preload,8684130
workbox-google-analytics,8679374
workbox-sw,8653041
replace-ext,8650209
axios-retry,8646462
react-icons,8638454
yocto-spinner,8634390
common-ancestor-path,8633002
infer-owner,8601823
lightningcss-linux-arm64-gnu,8588496
workbox-broadcast-update,8586273
http-status-codes,8566598
array-differ,8564241
copy-descriptor,8555430
stable-hash-x,8552614
async-sema,8551915
nyc,8547336
graphql-config,8530493
regex-not,8512235
prepend-http,8509597
fragment-cache,8508554
bundle-require,8489866
tty-browserify,8489432
goober,8488829
node-html-parser,8481276
css-functions-list,8452556
jest-watch-typeahead,8440233
react-test-renderer,8407275
isows,8405659
date-format,8396248
vinyl,8387035
monaco-editor,8360083
eslint-plugin-testing-library,8353166
time-span,8337184
cmd-shim,8299330
use-latest,8289934
gray-matter,8242042
clipboardy,8227432
canvas-confetti,8220654
eslint-compat-utils,8210627
react-easy-router,8203097
stylelint-config-recommended,8198732
acorn-loose,8190838
react-aria,8143965
p-is-promise,8129230
postcss-custom-media,8106682
react-native-safe-area-context,8100120
use-composed-ref,8092123
command-line-args,8078379
babel-preset-expo,8071838
find-replace,8064455
workbox-recipes,8059936
canvas,8051211
qrcode.react,8018742
react-stately,8011775
vue-eslint-parser,7999120
url-parse-lax,7992382
vue-demi,7984419
tsup,7981955
postcss-custom-properties,7981240
flow-enums-runtime,7965772
for-own,7959535
spawn-wrap,7942462
passport,7930603
react-quill,7921168
varint,7913749
bullmq,7902115
is-yarn-global,7886085
idb-keyval,7885050
radix3,7881993
conventional-commits-filter,7879776
react-native-is-edge-to-edge,7877019
strip-dirs,7865418
js-md4,7852535
vue-router,7846964
log4js,7840817
mdast-util-math,7840769
heap-js,7837245
expo-file-system,7833820
sanitize-filename,7828757
streamroller,7818421
package-hash,7780153
prosemirror-trailing-node,7774171
read-package-up,7773502
is-text-path,7770979
fast-json-patch,7757612
peek-readable,7743401
koa,7737804
just-extend,7717138
expo,7714998
postcss-selector-not,7710056
postcss-custom-selectors,7704584
postcss-preset-env,7699482
truncate-utf8-bytes,7683696
postcss-pseudo-class-any-link,7679826
postcss-color-rebeccapurple,7675261
postcss-color-hex-alpha,7671091
universal-github-app-jwt,7653569
colorjs.io,7650964
lazy-cache,7645347
postcss-color-functional-notation,7642866
postcss-scss,7639073
table-layout,7636815
pdf-parse,7623269
cssdb,7613644
stream-combiner,7612326
postcss-focus-visible,7594335
postcss-logical,7589357
expo-asset,7579239
postcss-lab-function,7571836
postcss-dir-pseudo-class,7568752
opentracing,7567515
preact-render-to-string,7556947
command-line-usage,7555976
tiny-emitter,7555666
css-has-pseudo,7554063
postcss-gap-properties,7548363
postcss-image-set-function,7542648
postcss-focus-within,7542595
postcss-place,7542009
postcss-overflow-shorthand,7541348
postcss-font-variant,7536432
sponge-case,7535760
postcss-double-position-gradients,7524742
css-blank-pseudo,7501946
css-prefers-color-scheme,7499579
lovable-tagger,7472118
nearley,7449040
algoliasearch,7446009
less-loader,7439765
file-saver,7438565
use-latest-callback,7432884
p-reduce,7424730
caller-path,7423711
unixify,7404672
protocol-buffers-schema,7381223
ts-pattern,7379819
node-preload,7379668
rollup-plugin-visualizer,7373668
cypress,7360936
ky,7358420
launder,7350734
onnxruntime-common,7350641
react-syntax-highlighter,7344784
find-yarn-workspace-root,7338937
koa-compose,7320957
minimizer-webpack-plugin,7303853
value-or-promise,7299868
openapi-fetch,7292593
ts-log,7286968
eslint-plugin-unicorn,7269853
cachedir,7254743
web-worker,7238835
babel-plugin-react-native-web,7226292
turndown,7212258
openapi-typescript-helpers,7197139
mammoth,7185198
postal-mime,7184310
lottie-web,7163087
byline,7162612
babel-core,7142971
react-native-screens,7135546
nanostores,7122338
remark-math,7114366
http-server,7103839
executable,7085321
is-directory,7077575
util.promisify,7073686
esm-env,7062079
array-find-index,7055820
lop,7055408
global,7054488
ts-invariant,7046861
requireindex,7044183
react-draggable,7042905
remove-trailing-spaces,7042579
path-dirname,6975547
delay,6974705
babel-plugin-transform-flow-enums,6970253
neotraverse,6968681
hashery,6958368
eslint-plugin-promise,6952998
nock,6935789
base-64,6901462
react-native-reanimated,6883641
platform,6882721
its-fine,6828185
bufferutil,6816139
ncp,6803288
http_ece,6791407
read-package-json-fast,6775504
read,6761769
js-md5,6761210
react-freeze,6756079
remend,6748864
lightningcss-linux-arm64-musl,6721530
has-yarn,6684082
typebox,6673117
leaflet,6672468
react-native-gesture-handler,6658176
utf8-byte-length,6648476
ext-list,6642399
jscodeshift,6635636
cron,6635609
ext-name,6633553
map-or-similar,6632372
flow-parser,6631202
klaw-sync,6604997
postcss-values-parser,6604814
react-window,6598959
read-yaml-file,6595625
types-registry,6590411
node-mock-http,6584793
lightningcss-darwin-arm64,6584352
mini-svg-data-uri,6576871
super-regex,6570073
klaw,6566769
request-progress,6546936
jsonc-eslint-parser,6533587
webpack-hot-middleware,6520853
expo-server,6519351
mongoose,6516647
recursive-readdir,6506499
is-in-ci,6503570
rehype-katex,6495290
aws4fetch,6469550
dockerode,6469422
async-each,6453117
mpath,6427719
better-auth,6411281
passport-strategy,6406354
micromark-extension-frontmatter,6394912
abitype,6382886
protocols,6380481
release-zalgo,6379200
eslint-plugin-vue,6370656
vue-component-type-helpers,6370653
eslint-plugin-jsdoc,6368303
eslint-config-airbnb-base,6360206
swc-loader,6343483
es6-weak-map,6341439
scule,6334852
docker-modem,6329851
readable-web-to-node-stream,6328373
pause-stream,6315604
sf-symbols-typescript,6315300
stream-to-array,6313751
oxlint-tsgolint,6313600
libmime,6306933
array-slice,6300628
patch-package,6300179
lmdb,6299934
eslint-plugin-es-x,6291366
jsonschema,6287340
normalize-svg-path,6285947
ent,6276522
make-event-props,6271135
map-stream,6268682
tippy.js,6266774
buffer-image-size,6264658
dotenv-cli,6262046
state-local,6239366
hast-util-to-string,6197668
merge-refs,6185430
url-loader,6162647
fix-dts-default-cjs-exports,6158315
react-native-worklets,6153157
string-env-interpolation,6148835
utf-8-validate,6141300
hermes-compiler,6133697
diff-match-patch,6124068
buffer-fill,6123844
memorystream,6121187
kareem,6114515
resolve-workspace-root,6110650
lightningcss-win32-x64-msvc,6106714
tmp-promise,6090401
openapi-typescript,6089699
event-stream,6083977
zeptomatch,6042954
svix,6016082
ansicolors,5995745
react-pdf,5993181
styleq,5993104
highlightjs-vue,5986029
rc-util,5980816
oidc-token-hash,5977736
warn-once,5975125
html-to-image,5969268
electron,5963206
oauth,5947713
svg-arc-to-cubic-bezier,5936269
react-native-svg,5929009
dnd-core,5909391
ast-kit,5905206
parse-url,5886828
ts-essentials,5847425
structured-headers,5846992
react-colorful,5843724
coa,5834834
sass-embedded,5834300
next-auth,5809284
just-diff,5805770
fb-dotslash,5805543
webcrypto-core,5795974
react-dnd,5783824
parse-path,5761542
json-to-pretty-yaml,5759271
app-root-path,5755818
from,5746016
convert-to-spaces,5743471
parse-conflict-json,5742141
ink,5740009
graphmatch,5725381
unplugin-utils,5711287
map-age-cleaner,5708279
vue-tsc,5704701
foreach,5701930
pdfkit,5700116
bcrypt,5696592
jotai,5664774
node-dir,5638268
http-assert,5636320
babel-plugin-dynamic-import-node,5632247
react-popper,5631036
pino-http,5616489
promise-polyfill,5606923
docker-compose,5606758
spawn-command,5602116
fast-json-parse,5592476
properties-reader,5577829
focus-trap,5571179
memoizee,5569047
testcontainers,5563719
react-dnd-html5-backend,5558407
wonka,5535601
react-error-overlay,5531590
superstruct,5530560
treeverse,5493810
please-upgrade-node,5488496
git-url-parse,5474326
easy-table,5469230
direction,5460629
command-exists,5457018
xss,5446263
esbuild-wasm,5442244
dom-walk,5438957
just-diff-apply,5427959
gonzales-pe,5426894
partial-json,5426451
license-webpack-plugin,5425431
de-indent,5419043
async-exit-hook,5400102
repeating,5399407
popper.js,5389021
git-up,5381097
css-box-model,5355884
json-stringify-nice,5353143
cssfilter,5350540
is-path-in-cwd,5340939
constructs,5336562
mdast-util-frontmatter,5325509
promise-call-limit,5317708
parse-svg-path,5316179
vite-plugin-svgr,5311485
is-ssh,5306221
rollup-pluginutils,5292548
uniq,5289623
react-native-web,5279785
svelte,5273631
streamdown,5272977
opencollective-postinstall,5272262
detective-postcss,5264902
ordered-binary,5256918
request-light,5255711
remark,5247682
node-stream-zip,5214660
make-asynchronous,5197691
uvu,5195330
xstate,5178634
fetch-retry,5177211
lru_map,5177086
node-cache,5176607
weak-lru-cache,5171857
usehooks-ts,5165980
webpack-subresource-integrity,5163348
find-file-up,5153197
is-root,5151746
sass-embedded-linux-x64,5146256
endent,5144459
propagate,5135017
viem,5130715
strip-outer,5130403
buffer-alloc,5123553
buffer-alloc-unsafe,5123510
re2js,5121756
p-throttle,5121537
expo-router,5108941
relay-runtime,5108820
string-hash,5098925
builder-util-runtime,5086541
node-source-walk,5082841
murmurhash-js,5077162
postcss-flexbugs-fixes,5073675
libqp,5073402
fuzzy,5072957
unquote,5067376
is-stream-ended,5056520
parse-imports-exports,5038267
libbase64,5037073
flush-write-stream,5032744
parse-statements,5032369
screenfull,5028866
knex,5026948
babylon,5024163
hash-sum,5019756
rehype-harden,5018339
react-datepicker,5015761
should,5005121
flmngr,4996794
nlcst-to-string,4985683
generic-names,4972488
next-intl,4953270
invert-kv,4948350
hast-util-has-property,4931939
typedoc,4928906
tildify,4921332
flagged-respawn,4920020
babel-plugin-transform-react-remove-prop-types,4910822
react-intersection-observer,4905602
parse5-sax-parser,4900077
fined,4892508
eslint-plugin-es,4890450
make-cancellable-promise,4888420
better-path-resolve,4867508
into-stream,4858754
shellwords,4852588
eslint-plugin-playwright,4842999
claude-cup,4838146
typed-assert,4833552
typeorm,4826597
is-object,4824913
code-excerpt,4821813
react-number-format,4817528
detective-stylus,4801949
detective-typescript,4790016
array-each,4770033
npm-run-all,4764166
abs-svg-path,4763299
object.defaults,4760827
currently-unhandled,4739565
detective-scss,4726980
detective-sass,4726799
textextensions,4696873
module-definition,4692879
tiny-async-pool,4683506
echarts,4682767
dir-compare,4681054
detective-amd,4679116
expo-secure-store,4678718
binaryextensions,4677334
cli-table,4670894
path,4668620
is-url-superb,4668279
remark-frontmatter,4665028
sql-escaper,4649836
js-sha256,4649215
unist-util-generated,4642273
oxc-transform,4635097
pinia,4634644
getopts,4619757
to-arraybuffer,4618685
extract-files,4617619
lodash.template,4609628
clipanion,4599017
markdown-to-jsx,4579413
fs-readdir-recursive,4575364
topojson-client,4570882
json2mq,4557686
raw-loader,4557454
swagger2openapi,4552025
swagger-ui-express,4551445
react-dev-utils,4549977
aws-cdk,4531536
babel-plugin-transform-typescript-metadata,4526083
react-helmet-async,4525450
oas-validator,4523849
http2-client,4522857
sdp-transform,4520526
request-promise-core,4516776
lightningcss-darwin-x64,4513553
babel-plugin-styled-components,4502477
update-check,4490511
loud-rejection,4470038
parse-cache-control,4467653
sorted-array-functions,4464643
lru-queue,4461425
patch-console,4461179
bfj,4453280
node-schedule,4450972
gsap,4448997
formik,4420683
emitter-listener,4400614
babel-plugin-const-enum,4400019
typanion,4397917
eslint-plugin-flowtype,4382813
hex-rgb,4372745
detect-port-alt,4358014
fp-ts,4357926
cache-manager,4357281
aws-cdk-lib,4349377
front-matter,4340807
stealthy-require,4336799
react-chartjs-2,4320888
lockfile,4311188
shallow-equal,4309888
postcss-env-function,4300778
css,4300582
next-intl-swc-plugin-extractor,4284641
timed-out,4281872
css-select-base-adapter,4273898
unctx,4273640
babel-preset-fbjs,4271299
express-session,4268771
hoopy,4266821
json-pointer,4266556
node-libs-browser,4259694
objectorarray,4252391
prism-react-renderer,4249167
vite-plugin-pwa,4239394
walkdir,4238866
suspend-react,4227955
requirejs,4227107
sortablejs,4226614
react-resizable,4226178
stack-chain,4218517
css-selector-parser,4210193
liftoff,4208323
stream-combiner2,4201441
gitconfiglocal,4200137
react-native-webview,4190092
downshift,4166973
robots-parser,4165180
proggy,4151429
indexes-of,4150257
sql-formatter,4144935
sitemap,4142210
po-parser,4140833
webpack-manifest-plugin,4140495
scslre,4127076
assert-never,4113696
parallel-transform,4112375
react-hotkeys-hook,4103712
to-readable-stream,4094595
eslint-webpack-plugin,4068125
with,4064451
passport-jwt,4056454
postgres-range,4050489
vscode-json-languageservice,4045241
is-expression,4041736
longest,4041622
modify-values,4039926
babel-plugin-module-resolver,4038767
sql-highlight,4035876
pug-lexer,4032561
typed-rest-client,4032287
vite-compatible-readable-stream,4026223
jstransformer,4015928
workbox-webpack-plugin,4008001
postcss-modules,3996807
buffer-equal,3992243
jspdf-autotable,3991320
babel-preset-react-app,3990755
style-search,3990725
eslint-config-react-app,3990375
rtl-css-js,3983180
vscode-nls,3980203
serve,3978276
satori,3977962
http-link-header,3975432
pug-parser,3974943
pug,3973010
xml-crypto,3969779
json-rpc-2.0,3965758
promise-limit,3965377
nuqs,3959892
array-iterate,3949485
istextorbinary,3948606
expo-image,3941246
teen_process,3939450
csp_evaluator,3935066
chevrotain-allstar,3933694
app-module-path,3930403
multitars,3930144
bunyan,3926414
parse-css-color,3919971
react-toastify,3916467
standard-navigation,3913958
pug-strip-comments,3912635
fancy-log,3910792
pug-load,3909108
write,3908991
sass-lookup,3908513
async-hook-jl,3906332
parse-latin,3900836
beasties,3898660
stylus-lookup,3898319
html-react-parser,3896892
html-dom-parser,3891792
cls-hooked,3890808
stats.js,3890696
lightningcss-win32-arm64-msvc,3887969
json-bignum,3877624
js2xmlparser,3877549
regexparam,3872172
exec-sh,3858938
vite-plugin-dts,3855269
babel-types,3854503
fetch-nodeshim,3846541
css-box-shadow,3845659
locate-character,3836939
guid-typescript,3829725
troika-worker-utils,3823847
xregexp,3808996
promise-worker-transferable,3808655
react-property,3794307
stream-each,3788051
xmlcreate,3787853
string-convert,3785519
read-binary-file-arch,3781289
sass-embedded-linux-musl-x64,3767417
parse-headers,3758939
uncontrollable,3758903
stats-gl,3756357
sane,3750367
expo-notifications,3744736
css-gradient-parser,3743642
lookup-closest-locale,3734036
string-template,3724965
mobx-react-lite,3722285
peek-stream,3719565
private,3716006
node-fetch-h2,3713416
requirejs-config-file,3712314
react-hot-toast,3711367
flattie,3707355
react-use,3696511
node-sarif-builder,3694786
json-stream-stringify,3691511
country-flag-icons,3688763
mobx,3671068
nprogress,3670589
babel-walk,3664977
stacktracey,3660489
detective-vue2,3651949
as-table,3645245
eslint-plugin-cypress,3637722
chrono-node,3631424
vue-i18n,3629964
get-source,3624275
antd,3621277
stylelint-config-recommended-scss,3619736
edge-runtime,3617314
expo-image-loader,3615818
lightningcss-linux-arm-gnueabihf,3614417
decompress-unzip,3610836
optimist,3610544
node-api-version,3608202
react-leaflet,3607435
env-ci,3604425
react-aria-components,3603797
glob-stream,3602667
yazl,3597306
react-promise-suspense,3590521
unix-dgram,3579560
run-queue,3578322
babel-plugin-syntax-jsx,3571740
ts-deepmerge,3560646
lightningcss-freebsd-x64,3557473
mathjs,3556385
react-grid-layout,3553849
image-q,3551382
micro,3545895
jsonlines,3539122
issue-parser,3534586
treeify,3527034
react-side-effect,3520011
media-chrome,3519709
vite-plugin-checker,3517321
console-table-printer,3513998
temp-file,3512390
native-duplexpair,3511199
eslint-plugin-security,3506254
tsconfig,3504405
cli-color,3503023
worker-farm,3487974
nano-css,3486577
dts-resolver,3485344
koa-convert,3483972
env-editor,3475919
match-sorter,3471306
vinyl-fs,3471279
expo-system-ui,3464315
vscode-css-languageservice,3462244
freeport-async,3451484
tailwind-variants,3431236
async-generator-function,3430920
typed-emitter,3430630
only,3426367
object.map,3410831
karma,3407420
react-email,3404625
js-sha3,3403715
csscolorparser,3401717
css-mediaquery,3401089
elementtree,3395897
set-harmonic-interval,3393420
react-app-polyfill,3392349
yauzl-promise,3390517
eslint-plugin-sonarjs,3390130
react-clientside-effect,3383731
fast-shallow-equal,3379863
vercel,3378427
get-pkg-repo,3370679
react-helmet,3366562
ag-charts-types,3364269
trim-trailing-lines,3358618
turbo-stream,3358593
uid-promise,3358107
token-stream,3347920
rc-motion,3347120
ag-grid-community,3342471
supabase,3341382
use-memo-one,3340447
js-stringify,3337610
native-promise-only,3337264
concat-with-sourcemaps,3332570
cssfontparser,3329009
find-babel-config,3328638
react-virtualized-auto-sizer,3314215
react-universal-interface,3311982
pg-numeric,3304457
queue-tick,3297541
rc-resize-observer,3295170
react-native-url-polyfill,3290723
css-background-parser,3286479
moo-color,3283670
is-hotkey,3283561
password-prompt,3281789
escape-latex,3268739
jimp,3261960
aws-sdk-client-mock,3258710
eslint-config-airbnb,3257232
ast-walker-scope,3247170
babel-messages,3245029
qjobs,3242825
cloneable-readable,3236432
markdown-it-anchor,3236026
chroma-js,3235504
is-gzip,3234222
vinext,3228299
events-sync,3226493
rc-slider,3222455
expo-crypto,3221294
sanitize.css,3214206
react-virtuoso,3212351
specificity,3209933
dependency-cruiser,3205203
json-schema-to-typescript,3199715
ts-graphviz,3197009
merge-source-map,3196087
broadcast-channel,3195898
parse-bmfont-ascii,3190027
mssql,3189520
react-intl,3184155
magic-string-ast,3174499
expo-linear-gradient,3160710
postcss-normalize,3158477
multistream,3156982
postcss-browser-comments,3156206
object-deep-merge,3155294
native-run,3154734
d3-voronoi,3153820
sort-package-json,3153424
vite-plugin-inspect,3151409
xmldoc,3150736
resolve-dependency-path,3149396
webdriverio,3142779
eslint-plugin-eslint-comments,3142567
fast-url-parser,3141536
lodash.map,3135965
temporal-polyfill,3135696
clone-buffer,3128672
a-sync-waterfall,3122009
babel-traverse,3115492
js-string-escape,3110005
csv-parser,3105533
juice,3103524
quick-events,3099727
promise-breaker,3099451
walk-sync,3098531
image-ssim,3092714
hast-util-embedded,3091569
parse-numeric-range,3084645
react-base16-styling,3081626
react-shallow-renderer,3080658
babel-plugin-named-asset-import,3074438
http-call,3069325
abortcontroller-polyfill,3069287
clawpdf,3056608
custom-event,3051810
parse-bmfont-xml,3046810
underscore.string,3044623
web-resource-inliner,3044479
parse-bmfont-binary,3039308
posthtml-parser,3036835
nanospinner,3035441
rastermill,3029848
encode-utf8,3025936
gunzip-maybe,3023861
is-negated-glob,3022118
metaviewport-parser,3015300
request-ip,3014002
import-without-cache,3008938
slick,3005370
markdownlint,3004390
lightningcss-android-arm64,2998210
rc-tooltip,2997381
math-expression-evaluator,2992558
nimma,2991321
mylas,2988752
lottie-react,2980741
plimit-lit,2979188
queue-lit,2978191
wkx,2967886
add-stream,2966182
jsonrepair,2965181
reduce-css-calc,2958576
sequelize,2940855
hast-util-phrasing,2937626
import-from-esm,2929503
array-equal,2928468
react-easy-crop,2924258
acorn-node,2922411
now-and-later,2919583
keytar,2915892
react-compiler-runtime,2914313
object.omit,2914311
stylus,2912228
jsdoc,2911491
validate.io-array,2904062
events-intercept,2899958
valid-data-url,2898750
react-modal,2898350
node-ensure,2896577
launchdarkly-js-client-sdk,2885631
retry-as-promised,2885470
babel-template,2883243
jest-canvas-mock,2880158
esbuild-linux-64,2879993
catharsis,2878601
tv4,2877604
graphql-scalars,2873625
git-log-parser,2868916
slate,2868905
eval,2867065
langchain,2862732
object-path,2860156
color-parse,2857418
fs-mkdirp-stream,2853195
livekit-client,2847316
lodash.escape,2845547
utf8,2844680
nexus-rpc,2844105
byte-counter,2840044
rc-menu,2839431
node-polyfill-webpack-plugin,2829835
ts-easing,2822580
typedoc-plugin-markdown,2820972
fastparse,2820189
react-scripts,2818292
globule,2815995
isomorphic-unfetch,2812564
mensch,2799303
canonicalize,2794949
sockjs-client,2789649
unionfs,2788496
re-resizable,2787745
cache-content-type,2787052
stream-parser,2782005
expo-modules-jsi,2781098
titleize,2780370
ua-is-frozen,2773865
dom-serialize,2771659
vite-plugin-dynamic-import,2769468
eslint-plugin-perfectionist,2762910
msw-storybook-addon,2762413
path2d,2761143
elegant-spinner,2759324
sequelize-pool,2757469
resolve-global,2754934
fs-exists-sync,2752278
mockdate,2748302
d3-collection,2747933
console.table,2740437
eslint-config-standard,2733849
markdown-it-task-lists,2727898
jsondiffpatch,2724765
agent-cli-detector,2719318
yaml-eslint-parser,2713869
signale,2699562
discord-api-types,2696349
rc-overflow,2689850
axios-mock-adapter,2688878
oidc-client-ts,2687095
probe-image-size,2678007
react-phone-number-input,2673844
events-channel,2664654
fetch-cookie,2658178
rc-collapse,2651455
tiny-lru,2649632
rrule,2649589
rc-virtual-list,2646896
color2k,2646004
rc-input-number,2645297
zod-from-json-schema,2639145
splaytree,2637945
listhen,2634670
input-format,2631144
rc-tree,2627675
vite-plugin-commonjs,2622497
rc-dialog,2621018
webpack-log,2620885
i18next-http-backend,2619265
is-ip,2618816
is-valid-glob,2618667
zlibjs,2608133
firebase-tools,2607435
jest-serializer-html,2606838
gaze,2604025
time-stamp,2599011
jest-expo,2598794
react-server-dom-webpack,2589527
appdirsjs,2584309
datadog-metrics,2583997
css-selector-tokenizer,2580900
terminal-size,2576235
synchronous-promise,2575332
mobx-react,2572891
eventid,2569261
http-shutdown,2567397
is-invalid-path,2562083
slate-react,2561394
p-pipe,2561296
konva,2559504
xml-parse-from-string,2559302
jss,2557845
react-native-drawer-layout,2557685
cwd,2553662
find-yarn-workspace-root2,2553569
detect-browser,2551753
mem-fs-editor,2550351
sparkles,2545662
webpackbar,2543170
logkitty,2540853
sandbox,2539307
write-json-file,2539253
lodash.zip,2534567
reduce-flatten,2534472
mux-embed,2534181
init-package-json,2534103
unpdf,2531032
universal-analytics,2528541
vite-dev-rpc,2528435
tween-functions,2524332
highcharts,2517026
to-valid-identifier,2515209
volar-service-typescript,2514212
is-deflate,2511580
tiny-typed-emitter,2509921
randomatic,2509770
react-qr-code,2508650
typescript-auto-import-cache,2505954
signature_pad,2505449
rc-select,2505034
yaml-language-server,2503182
dynamic-dedupe,2501102
vue-template-compiler,2499762
stream-transform,2496782
normalize-wheel,2491087
first-chunk-stream,2490578
cjson,2489485
jest-axe,2485529
rc-image,2484234
parse-github-url,2483540
rc-progress,2480394
http-response-object,2477513
cloudflare,2476826
eslint-plugin-turbo,2475532
fast-base64-decode,2475311
component-type,2465050
eslint-plugin-no-only-tests,2454125
rc-input,2452615
eslint-rule-composer,2451491
css-color-names,2448689
rc-dropdown,2439290
volar-service-css,2439065
jest-watch-select-projects,2430593
glob-base,2430011
sqids,2428664
fbemitter,2416558
rc-pagination,2413898
rc-tabs,2413049
require-like,2410916
email-validator,2409389
rc-picker,2407783
gradient-string,2405724
react-confetti,2405696
async-listener,2403993
continuation-local-storage,2402139
ts-mixer,2399014
to-through,2393848
resolve-options,2393641
steno,2391484
volar-service-typescript-twoslash-queries,2390715
rc-table,2387451
url-to-options,2387027
lowdb,2378749
react-inspector,2377869
irregular-plurals,2375212
rc-tree-select,2372723
ts-pnp,2372030
ag-grid-react,2370563
schema-dts,2370043
simple-lru-cache,2368522
retry-axios,2367479
text-encoding,2366717
numeral,2366370
ink-spinner,2365825
libnpmpublish,2364651
volar-service-prettier,2363765
mixin-object,2363390
rc-field-form,2359888
vue-loader,2350437
nestjs-pino,2350435
sql.js,2349587
validate.io-function,2349010
universal-cookie,2348990
pdfmake,2346389
volar-service-yaml,2345915
json-schema-compare,2344841
dogapi,2342315
tesseract.js-core,2341630
rc-cascader,2341148
csv,2339683
ssh2-sftp-client,2337440
css-vendor,2336561
csv-generate,2333834
rc-drawer,2331926
unist-util-filter,2327835
react-image-crop,2326588
diagnostic-channel,2322200
thirty-two,2319970
is-dotfile,2313908
libnpmaccess,2310038
vite-plugin-storybook-nextjs,2308452
superstatic,2308041
react-onclickoutside,2307442
prettier-plugin-organize-imports,2305308
sugarss,2303823
react-copy-to-clipboard,2303461
parse-glob,2302264
rollup-plugin-typescript2,2301631
rc-mentions,2299201
rc-checkbox,2294956
rc-notification,2293138
micromark-extension-cjk-friendly,2291854
firebase-functions,2291713
redis-commands,2290165
file-system-cache,2287069
rc-upload,2284083
await-to-js,2282050
runed,2280792
rollup-plugin-dts,2279690
validate.io-integer,2278019
validate.io-number,2277832
pg-cursor,2273614
remark-cjk-friendly,2272278
umzug,2270415
passport-oauth2,2270333
as-array,2268872
qrcode-generator,2261987
argv-formatter,2260718
spawn-error-forwarder,2259301
update-notifier-cjs,2259233
math-random,2256007
react-player,2250820
stream,2250399
rx,2249683
7zip-bin,2249185
mocha-junit-reporter,2247879
npm-run-all2,2247242
rc-steps,2246819
rx-lite,2246684
node-mocks-http,2246017
figlet,2244880
find-node-modules,2241323
json2csv,2239203
filename-regex,2238555
rc-textarea,2237483
jest-extended,2236508
rc-rate,2235233
rc-switch,2232325
glob-slash,2231660
json-logic-js,2225719
use-effect-event,2217751
strip-bom-stream,2212897
drizzle-zod,2206593
byte-size,2205865
regex-cache,2203726
load-yaml-file,2201885
svelte-check,2201308
jscpd,2199006
ordered-read-streams,2198250
exegesis-express,2197960
safaridriver,2196845
async-done,2194059
node-modules-regexp,2193654
preserve,2191392
react-color,2188207
flatstr,2187866
jssha,2187696
posthtml,2184956
json3,2184173
unique-stream,2178871
dexie,2178856
clean-webpack-plugin,2177918
ce-la-react,2177883
algoliasearch-helper,2174949
untun,2169043
pn,2159241
jest-mock-extended,2156107
ndjson,2155930
create-react-class,2152428
unpic,2152194
align-text,2151695
glob-watcher,2151177
node-cleanup,2146903
gulp,2141749
chat,2140993
rgb2hex,2139625
fast-npm-meta,2139396
custom-media-element,2139145
azure-devops-node-api,2137500
case,2137170
posthtml-render,2136908
heap,2135688
kinesis-local,2134102
perfect-scrollbar,2133491
react-merge-refs,2132031
babel-plugin-emotion,2131389
clipboard,2126609
pretty-time,2125296
is-lite,2122670
vite-plugin-static-copy,2120173
sort-object,2119682
bippy,2117774
rpc-websockets,2117699
sort-asc,2116677
dns-txt,2109711
copyfiles,2109031
node-edge-tts,2107501
string-ts,2103532
int64-buffer,2103305
pg-gateway,2100525
fastestsmallesttextencoderdecoder,2099600
otpauth,2098898
jayson,2098593
react-tooltip,2097234
music-metadata,2094141
delegate,2092730
buffer-indexof,2088839
is-in-browser,2086771
apexcharts,2085448
mongodb-memory-server,2084289
method-override,2084185
wouter,2082449
asyncbox,2082032
lodash.reduce,2081560
on-change,2080674
os-shim,2072559
good-listener,2071776
argue-cli,2069227
pnp-webpack-plugin,2065371
